question,choices,answer
What is a sign that you might not be living soon ?,growing older|reproducing|shuddering|perspiration|palpitations,palpitations
"Riding bike through rough terrain can be dangerous , one could find themselves what ?",pleasure|accident|get somewhere|hurt|falling down,falling down
What would a document be if it is not obtuse ?,pointed|bright|easy|clear|acute angled,clear
For convenience some customers want things straight to the doorstep and use what ?,mail orders|demand satisfaction|place money on counter|pay merchants with money|spend money,mail orders
"What is a great , but non-specific , overall benefit of exercise ?",good health|heart attacks|relaxation|rest|fatigue,good health
Where does a spoon go on one side of a plate ?,bowl of soup|serving dish|table setting|placemat|glass of iced tea,table setting
Where is a note likely to indicate a melody ?,fridge|a classroom|envelope|medical chart|sheet music,sheet music
what can years of playing tennis lead to ?,tennis elbow|proffesional player|exercise|victory|becoming tired,tennis elbow
Where would you be going if using a parking lot near a roller coaster ?,farm|business district|car|amusement park|urban area,amusement park
What does a virus primarily do to a person ?,infect|reproduce|mutate|eat food|make computer malfunction,infect
Where would you go if you did n't feel like baking a cake yourself ?,theater|refrigerator|bakery|grocery store|oven,bakery
Where are floors kept clean for holy purposes ?,restaurant|basement|all buildings|carpet|synagogue,synagogue
Where will a bullet projectile be found during a war ?,battle field|museum|weapon|canon|tornado,battle field
What is a place that might not always have a queen ?,bee hive|england|castle|deck of cards|chess game,castle
What do you need to be to learn hard concepts ?,copy|intelligent|improved performance|empowering|have more knowledge,intelligent
"Many addicts turn to exercise to deal with their addictions , this is because it is a healthy way to do what ?",condition heart|expend energy|laugh|stretch|weigh,expend energy
A night owl is what you 'd head at sunset and you 'd hear a what at sunrise ?,morning person|early bird|lark|early riser|rooster,lark
What place is not interesting to children ?,classroom|toy store|school|soccer game|dinner,classroom
What do rich people like in terms of bagels ?,poor|sleepy|plain|needy|homeless,plain
A shop will give you what for your purchases ?,downtown area|container|ocean floor|the lost city of atlantis|high school,container
Where is small knight likely to be found ?,fairy tale|castle|middle ages|chess board|doll house,chess board
How can you get in shape if there is no land nearby ?,swim|jog|excercise|work out|rock climb,swim
What might a person receive from their boss if they do a poor job ?,misfortune|fearful|criticism|make mistakes|promotion appraisal,criticism
The cabinets were imported from the south . John bought they because he knew that they would look good . Where might they be installed ?,kitchen|pantry|containing pots and pans|in a flight|mexico,kitchen
What might two people competing get into ?,stress|debate|argument|winning or losing|tension,argument
What are ai machines known for doing ?,fly|milk cows|eat|answering questions|fail to work,answering questions
"Bob and Boris were standing in a queue at the grocery store . They were standing in place . The line was fast , but the children in front of them were loud . They were what ?",frustration|being annoyed|delays|irritation|out of order,being annoyed
A blowfish lives free . He lives on his own . Where does he live ?,fish market|pet shop|great outdoors|river|little mermaid,great outdoors
Where is a paper notice likely to be left on a house ?,front door|conference|classroom|refrigerator|suitcase,front door
"People are purposefully harming others , what trait are they exhibiting ?",deceptive|altruistic|stupid|cruel|agressive,cruel
The child pounded his mitt in excitement while enjoying his first game in the bleachers where ?,football stadium|laboratory|baseball stadium|pharmacy|soccer game,baseball stadium
"After eating a dinner of uncooked chicken , what was felt by the poor man ?",indigestion|died|illness|feel better|throwing up,illness
"The obsessive man was always washing hands , he had even done it so much once that it caused a what ?",use soap|irritation|cleanliness|thinking|wet towel,irritation
"The person is laying on the beach , why would he do that ?",sun himself|thank god|race against time|express love|to think about things .,sun himself
"The spoiled child 's playroom was massive , but only one of many rooms in the what ?",big house|nursery school|preschool|building|retirement home,big house
"There 's a lot to reproducing , but it begins and end with new life by giving what ?",overpopulation|birth|presents|propagation|fun,birth
Where is known to always have snow ?,africa|north pole|roof|canada|surface of earth,north pole
What does someone want when having fun with their friends and trying to fit in ?,being understood|beer|playing around|hug|visiting friends,being understood
"The parents thought their children should learn teamwork , what were they signed up for ?",throw things|play sports|play games|play ball|play chess,play sports
If a human is sleepy what can they do to feel more alert ?,dream dreams|think critically|cross road|drink coffee|drive a car,drink coffee
